Close,SMA14,SMA50,SMA14IND,SMA50IND,Bulls,CCI,DM,OSMA,RSI,Stoch,Decision
0.7205,0.72050,0.72050,0,0,0,0,0,0,0,0,WAIT
0.7205,0.72050,0.72050,0.00000,0.00000,0,0,0,0,0,0,WAIT
0.7205,0.72050,0.72050,0.00000,0.00000,0,0,0,0,0,0,WAIT
0.7205,0.72050,0.72050,0.00000,0.00000,0,0,0,0,0,0,BUY
0.7205,0.72050,0.72050,0.00000,0.00000,0,0,0,0,0,0,STRONGBUY
0.7205,0.72050,0.72050,0.00000,0.00000,0,0,0,0,0,0,STRONGBUY
0.72174,0.72174,0.72174,0.00124,0.00124,-0.00321,20,0,-0.0005,0,-20,STRONGBUY
0.72747,0.72747,0.72747,0.00573,0.00573,0.006,80,0.1,0,10,20,STRONGBUY
0.72998,0.72998,0.72998,0.00251,0.00251,0.0005,20,0,0,0,30,BUY
nan,0.73418,0.73418,0.00420,0.00420,0.0025,60,0.1,0.0005,10,20,BUY
0.734,0.73400,0.73400,-0.00018,-0.00018,-0.0005,-20,-0.1,0.0005,0,0,BUY
0.7329,0.73290,0.73290,-0.00110,-0.00110,0,-40,0,0,-10,0,BUY
0.73545,0.73545,0.73545,0.00255,0.00255,-0.00125,20,0,0,10,-10,SELL
0.73514,0.73514,0.73514,-0.00031,-0.00031,-0.00025,-20,0,0,0,0,SELL
0.73507,0.72670,0.73507,-0.00844,-0.00007,0.0015,-20,0,0,0,-10,SELL
0.73321,0.72775,0.73321,0.00104,-0.00186,-0.0025,-40,0,-0.0005,-10,-30,SELL
0.73348,0.72865,0.73348,0.00091,0.00027,-0.0025,0,-0.1,-0.0005,0,-20,WAIT
0.73355,0.72958,0.73355,0.00093,0.00007,-0.0015,0,0,0,0,0,WAIT
0.73151,0.73051,0.73151,0.00093,-0.00204,0.00078,-40,0.1,-0.0005,0,0,STRONGBUY
0.73329,0.73130,0.73329,0.00079,0.00178,-0.00128,20,0.1,0,0,0,STRONGBUY
0.7327,0.73221,0.73270,0.00091,-0.00059,0.0005,-40,0,0,0,10,STRONGBUY
